FIPS,State,County,Population,% Black,% American Indian or Alaska Native,% Asian,% Native Hawaiian or Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Rural,Life Expectancy,Income,Upward mobility,Longitude,Latitude
06051,California,Mono,12978,0.8,3,2.2,0.4,27.3,65.2,46.6,98.9,79105,48.1,-118.8872447,37.93940061
08117,Colorado,Summit,30565,1.3,1,1.7,0.2,15.1,80.3,16.1,93,96984,48.4,-106.1163363,39.63420352
08097,Colorado,Pitkin,16876,0.9,0.6,2.3,0.1,11.3,83.9,33,92.7,111291,42,-106.9159345,39.21732141
38065,North Dakota,Oliver,1856,0.5,3,0.4,0,1.7,93.6,100,91.2,79521,,-101.3403504,47.115508
30051,Montana,Liberty,1972,0.6,1.1,0.3,0.1,1.3,94.1,100,89.4,53601,,-111.0252038,48.56122467
08037,Colorado,Eagle,55285,0.9,1.4,1.6,0.1,29.5,66.4,18.5,88.9,105813,45.9,-106.6953848,39.62801893
08113,Colorado,San Miguel,8003,0.6,1.6,1.2,0.1,11.7,84.4,43.2,88.3,94387,,-108.405806,38.00399367
08091,Colorado,Ouray,5100,0.2,0.9,1,0.2,7.4,88.9,100,87.5,90837,,-107.7693048,38.15498465
38033,North Dakota,Golden Valley,1744,0.7,1.5,0.3,0.1,4.9,90.2,100,87.4,64823,,-103.8465777,46.94026181
02016,Alaska,Aleutians West,5122,8.1,9,38.6,3.8,15.8,23.1,100,86.3,"112,218",,-110.2449123,52.79430361
53055,Washington,San Juan,18662,0.7,1.1,1.8,0.2,7,87.3,80.1,86.3,84024,39.1,-122.9534631,48.57856326
56039,Wyoming,Teton,23287,0.7,1.1,1.9,0.2,15.8,79.9,53.9,86,127677,50.4,-110.5896979,43.93456366
08093,Colorado,Park,17939,1,1.4,1,0.1,7.1,87.8,100,85.4,88020,48.6,-105.7172304,39.11969049
51685,Virginia,Manassas Park City,16703,13.5,1.9,11.6,0.3,44.3,28.1,0,85.3,90816,45.1,-77.44401094,38.7704423
